,Refcode,ΔE,P1/P2,O…O,O-H-O,O_H1-O_H3,O_H1-O_H4,O_H2-O_H3,O_H2-O_H4,min H…O,min H…H,H1…H4,H-O-H-H3,H-O-H-O,H-O-H-H4,O-H1-H3,O-H1-H4,H1-O-H2,H3-O-H4,R(H1O),r(H1O),R(H1H3),r(H1H3),R(H1H4),r(H1H4)
7920,XAKCOD,-5.03,82.317,2.825,163.452,81.806,92.582,111.971,136.274,1.859,2.204,2.303,139.861,154.591,146.025,150.785,138.959,109.295,108.221,0.52947759872449,1.7820029383951,1.0757463330338,1.9236386944965,1.5121473123522,1.7370145381504
7921,XUTVEP,-4.06,30.442,2.825,172.45,58.28,48.443,138.915,48.501,1.837,2.535,2.537,158.326,148.25,5.951,157.598,167.776,96.682,97.794,0.2413658939106,1.8210742723065,0.96609521486733,2.3436904735503,0.53716965757673,2.4794793322347
7922,YOXFOG,-4.65,53.359,2.825,153.096,103.266,30.387,131.497,87.108,1.904,2.294,2.66,156.108,172.535,137.0,129.841,163.812,106.852,101.359,0.86155422597108,1.6979223526744,1.7613911786323,1.4696724518873,0.74158133744352,2.5545365763589
7923,CIPSIE,-4.38,22.397,2.826,176.146,54.485,52.741,148.72,54.485,1.834,2.544,2.548,161.228,120.612,21.375,161.091,162.617,105.935,105.935,0.12327098320217,1.8298525253966,0.82442396745249,2.4067116823354,0.76123449294479,2.4316303269105
7924,CISTEG,-2.07,78.801,2.826,154.937,64.608,48.413,116.959,106.908,1.895,2.145,2.811,130.561,70.225,83.171,177.324,147.681,107.692,107.76,0.80274955997333,1.7165716250604,0.10014582987734,2.1426609187546,1.5028522932536,2.3755327791177
7925,DILTEZ,-4.84,78.988,2.826,169.806,66.149,52.981,123.277,111.597,1.843,2.405,2.489,100.889,25.652,85.395,157.123,165.695,102.205,103.526,0.32617722633524,1.8139066726324,0.93495368571854,2.2158263933714,0.61499101657511,2.4118264965648
7926,EYIJAX,-5.1,84.724,2.826,177.521,72.587,76.579,119.95,131.765,1.833,2.304,2.306,119.313,94.72,127.434,157.525,153.423,108.015,107.401,0.079283141529238,1.831284571952,0.88077375925809,2.1290029556115,1.0317046657814,2.0623339891019
7927,GIVPUX,-4.31,83.692,2.826,152.649,116.782,71.007,125.497,50.301,1.907,2.155,2.349,139.239,135.039,84.328,125.336,149.16,104.528,111.678,0.87615274135727,1.6938138545342,1.7579937250073,1.2463880065352,1.2041970144515,2.0168566013443
7928,HESNEZ,-4.71,81.04,2.826,178.128,68.345,50.761,100.676,136.249,1.834,2.377,2.569,92.82,16.351,135.954,157.71,163.312,103.396,99.632,0.059910821212083,1.8330211928676,0.90158344055392,2.1993808900959,0.73771380281564,2.4608005496454
7929,HIVDEW,-4.81,77.548,2.826,178.656,67.969,42.867,113.535,105.192,1.833,2.388,2.645,105.95,14.391,89.185,157.389,165.457,108.394,108.203,0.042993150672319,1.8324957268696,0.91812047140337,2.2044497726168,0.66417674573124,2.560252770808
7930,HORGUR,-4.87,31.66,2.826,172.867,71.551,47.297,175.273,74.654,1.838,2.435,2.557,178.735,171.074,53.877,151.397,167.573,111.632,106.243,0.2282299710119,1.823774953313,1.16572661207,2.137827510795,0.55025501949745,2.4970919914008
7931,HUWPUM,-4.8,53.819,2.826,166.787,59.473,81.735,61.474,153.928,1.85,2.377,2.383,63.403,179.686,163.03,165.966,144.66,109.443,109.449,0.42285776021236,1.8010250732925,0.57641688563481,2.3060512947363,1.3783921487619,1.9438940516992
7932,IGOLEX,-4.46,53.431,2.826,172.475,74.583,58.939,134.814,51.592,1.838,2.281,2.443,147.23,121.819,6.603,156.149,162.87,109.921,109.253,0.24070223618932,1.8221708025027,0.92234415264986,2.0862028338761,0.7195630203818,2.3346258928786
7933,KEBJAD,-4.32,73.993,2.826,165.509,84.921,74.961,133.944,36.679,1.854,2.304,2.404,118.32,82.729,40.829,144.784,148.598,104.504,109.88,0.463922572376,1.7950186201931,1.3286257542011,1.88233089686,1.2525787802642,2.0518923946523
7934,MHTAZP,-4.16,63.513,2.826,174.292,79.767,51.852,46.983,89.031,1.836,2.314,2.539,40.337,45.627,62.807,149.949,163.912,106.047,102.532,0.18260614518729,1.8268965476293,1.158783322398,2.0029521241738,0.70359097872755,2.4395656856607
7935,NARKUO,-3.93,52.789,2.826,160.817,54.195,75.229,49.094,133.708,1.87,2.356,2.418,11.523,161.213,157.411,174.816,146.604,102.151,104.948,0.61445662439404,1.7661662030336,0.21287513904753,2.3463631805787,1.3309214970791,2.0187550541393
7936,NARYOU,-4.46,84.144,2.826,167.549,46.354,58.23,92.168,99.76,1.848,2.56,2.578,116.551,152.778,112.718,166.597,154.516,100.523,104.56,0.39843729244569,1.804536429111,0.59340502426198,2.4902751810153,1.109207781056,2.3271747030347
