,Refcode,ΔE,P1/P2,O…O,O-H-O,O_H1-O_H3,O_H1-O_H4,O_H2-O_H3,O_H2-O_H4,min H…O,min H…H,H1…H4,H-O-H-H3,H-O-H-O,H-O-H-H4,O-H1-H3,O-H1-H4,H1-O-H2,H3-O-H4,R(H1O),r(H1O),R(H1H3),r(H1H3),R(H1H4),r(H1H4)
4262,ANEROB,2.21,0.0,3.074,55.967,69.7,180.0,180.0,69.7,3.518,4.064,4.156,154.193,146.199,146.199,66.442,44.547,110.3,110.3,2.9154206472932,-1.96892012264,3.7252897991002,-1.6242881249088,2.9154095259129,-2.961878339199
4263,POHXOA,0.01,85.916,3.076,90.161,141.622,66.163,33.591,110.408,2.909,3.203,3.816,78.321,89.445,92.972,76.086,96.161,109.562,109.405,2.9089885152928,0.0081742213411534,3.1090167854736,-0.77021011915151,3.7939597246044,0.40954316998259
4265,XEXMIY,1.8,37.151,3.079,59.735,132.633,123.746,123.746,46.962,3.458,3.971,4.048,129.997,116.677,103.056,52.535,55.474,100.447,100.447,2.9866870069027,-1.7428323851704,3.1518822269244,-2.4154667100994,3.3350220228097,-2.2943260682332
4266,ALEPUD,0.38,39.466,3.083,109.429,44.972,59.164,71.218,139.906,2.607,2.67,3.202,139.347,155.193,171.033,126.001,115.454,109.793,103.531,2.4585428606331,0.86718856221114,2.1600479836883,1.5694243238093,2.8911838768876,1.3761757845657
4267,GOTQEN,1.28,80.909,3.084,77.055,90.212,111.119,65.613,141.509,3.151,3.569,4.063,121.787,137.507,143.548,78.534,74.826,104.005,98.401,3.0709190785659,-0.70587322721583,3.4977728937955,-0.70946866275369,3.9213450196241,-1.0634952924529
4268,NOLHOM,0.46,85.666,3.086,79.832,155.051,72.027,51.542,97.605,3.102,3.6,3.984,72.853,79.018,82.331,66.286,86.529,105.576,98.873,3.0532810961636,-0.54761167610803,3.2960316658895,-1.4478174116419,3.9766916309213,-0.24120462798252
4271,FIJGEM,1.8,50.534,3.094,76.234,47.783,157.82,73.844,63.159,3.176,3.36,3.717,107.068,119.236,113.972,88.489,63.209,108.924,111.073,3.0847714882771,-0.75575185419055,3.3588316639559,-0.088599397330441,3.3180046978674,-1.6753906484549
4274,UFABEJ,2.27,0.0,3.104,50.539,71.98,180.0,180.0,71.98,3.638,4.071,4.338,146.13,135.332,135.332,60.494,40.359,108.02,108.02,2.8087447095464,-2.3121412492742,3.5430080916256,-2.0050273471141,2.8091794380925,-3.3055642308989
4275,TEDPAU,2.26,68.669,3.106,62.926,26.138,111.762,124.339,99.09,3.429,3.482,4.28,145.886,141.561,132.959,78.916,63.21,98.227,102.867,3.0532482346209,-1.5606781275408,3.4170481230338,-0.66940729370935,3.820604050725,-1.9290890823349
4285,ZEVZIL,1.91,58.213,3.13,68.56,42.929,146.614,126.252,89.999,3.354,3.816,4.156,139.074,141.426,137.326,82.488,60.365,104.564,104.433,3.1219060741786,-1.2259765348517,3.7832491887288,-0.49888032230479,3.6123662550361,-2.0550294497833
4286,YAKNUV,1.55,85.84,3.134,68.756,42.814,147.228,101.315,82.428,3.354,3.422,3.939,154.087,165.062,156.534,81.822,58.636,103.445,104.489,3.1260816755678,-1.2152898245602,3.3872014202914,-0.48677565507739,3.3634253977886,-2.0501440421372
4289,DOCYOK,1.67,0.0,3.141,58.192,180.0,75.742,75.742,180.0,3.549,4.159,4.201,149.096,149.096,156.428,46.485,67.229,104.258,104.258,3.0160080135588,-1.8705872506112,3.0160824089192,-2.8636563869655,3.8735705847685,-1.6259925967902
4292,XOKHUC,1.09,38.025,3.145,70.784,139.192,62.967,102.76,147.006,3.328,3.969,4.026,179.155,169.949,165.037,62.264,80.793,104.284,105.617,3.1425788044315,-1.0953458165975,3.5129673856849,-1.8471657064579,3.9741319329737,-0.64416719826359
4293,HAPIOX,1.73,0.0,3.147,54.973,180.0,77.848,77.848,180.0,3.61,4.258,4.304,159.517,159.517,164.539,43.963,64.355,102.152,102.152,2.9561627991638,-2.0720042241366,2.9558767587315,-3.0648583306886,3.880025393992,-1.8627450018662
4294,KESQAB,0.94,0.0,3.148,65.052,180.0,75.633,75.633,180.0,3.435,3.958,4.223,164.15,164.15,167.871,51.903,73.457,104.367,104.367,3.1144834815905,-1.4488677106278,3.1148166874121,-2.4420649057343,4.0481944629334,-1.2024352748798
